shape_key,test_match_count,test_row_ids,test_example_text,train_match_count,train_TRUE_count,train_FALSE_count,train_row_ids,train_labels,train_example_text,train_TRUE_rate,train_FALSE_rate,cross_pair_count
A A A A A A A A A A A A.,6,479|559|1045|1494|1615|2093,Commune with the help sheet is to provide assistance guide for your.,18,0,18,70|568|617|1034|1156|1588|1673|2116|2138|2336|2407|3486|3604|4057|4182|4395|4739|4859,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Dr Rossouli kept expressing great interest and enthusiasm writing about this topic.,0.0,1.0,108
A A A A A A A A A A A A A A A A A A A A A A A A A A.,5,123|409|836|1148|1402,However the other people in the park irritated Liddy and forced their hands up just as they were about to reach the top of the tree.,9,3,6,1812|1958|2467|2840|2919|3948|4120|4265|4681,FALSE|FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|FALSE|FALSE,Adding a new patrol buddy goes in line toward that direction in ensuring that the law enforcement agency is well manned to perform their duties efficiently.,0.3333333333333333,0.6666666666666666,45
A A A A A A A A A A A A A A A A A A A A A A A A A.,4,203|951|995|1454,This appeal allowed it access as design and artistic brilliance by exhibiting particular pieces as the focal ground while designing extra space lacking towards luxuriously.,14,5,9,99|1181|1184|1595|1894|1919|2139|2312|2491|2739|2917|2942|4693|4741,FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE|FALSE|TRUE,Please look online stores specializing and performing a product round up for testers who are runners who have been doing it for a long time.,0.35714285714285715,0.6428571428571429,56
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A.,4,76|1071|1321|1517,Its objective shifted from a project to a company standpoint detail project metrics significance of each metric while the scope of assets by different ratios of their total value.,5,1,4,591|1927|2625|3207|4523,TRUE|FALSE|FALSE|FALSE|FALSE,In creating mine the project plan it becomes compulsory that requirements relating to stakeholders be identified prematurely to modify when the venture becomes well underway because of their impact.,0.2,0.8,20
"A A A A A A A A, A A A A A A A A A A.",4,233|845|1664|1745,"To remove the noises that a movie whispers, this is done creatively by applying a variety of techniques.",2,0,2,605|2468,FALSE|FALSE,"I share stories as only an Egyptian can, a little too excited to be a little too quiet.",0.0,1.0,8
A A A A A A A A A A A A A A A A A A A A A A A A A A A A.,3,592|621|1225,Studies conducted by BBC Worldwide and the Economist Integrating and globalizing marketing research have anticipated that technology will vastly overpower these difficulties with the help of Artificial Intelligence.,8,5,3,387|965|1318|1887|2264|3382|3451|3481,TRUE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|FALSE,Congress must now argue what the best approach globally would actually this be when the United Manifest Destiny was more of less a response toward Manifest destiny essays.,0.625,0.375,24
A A A A A A A A A A A.,3,78|1117|1701,Delica flowers add a delicate inspiration of subtletyalities in this piece.,8,0,8,215|252|651|762|1571|2832|4367|4823,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Wild lions are highly maternal mothers capable to producing lycan offspring.,0.0,1.0,24
"A A A A A A A, A A A A A A A A.",3,837|1329|1641,"Mom has surprised me by cooking lasanga, as an alternative option via a vegetarian dish.",6,0,6,385|1167|2514|2576|3708|3729,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,"We have reviewed several rainloop waterproof blankets, but one will stand out above the rest.",0.0,1.0,18
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A.,3,1398|1686|1727,We will certainly need more meteorial sciences to come to study the long period of time that has passed and to be able to make a more accurate determination of what happened.,4,3,1,750|1246|1723|3516,FALSE|TRUE|TRUE|TRUE,Whether we start with the first concert RV I ever went inside one and then I went into the RV that I bought years later and then I went into this RV.,0.75,0.25,12
"A A A A A A A A, A A A A A A.",3,182|369|1298,"Everywhere that space is used the racks above, and displays lining up the shelves.",4,0,4,1257|3239|3696|4767,FALSE|FALSE|FALSE|FALSE,"walking involves multiple joints important as foot muscles, especially ankle dorsalis and plantaris muscles.",0.0,1.0,12
"A A A A A A A A, A A A A A A A A.",3,1344|1357|1397,"Exposure data indicate widespread noise addition impacts rise, and it appalls how sound pollution affects wildlife.",3,0,3,69|2609|3668,FALSE|FALSE|FALSE,"Having this new feature noticeably prolong visiting experiences, and our guests love the new touchless features.",0.0,1.0,9
"A A A A A A A A A A, A A A A A A A A A A.",3,111|1669|1674,"Savings Account products and services are often guarded cash reserves, though they may also be used for more general purposes.",2,0,2,1578|1860,FALSE|FALSE,"ackage of games are scheduled each benchmark computer algebra day, each consisting a key part of the computer algebra curriculum.",0.0,1.0,6
"A A A A A A A A A, A A A A A A A A.",3,1392|1809|1921,"Many offices have switched to remote greeting card delivery, have a more ecofriendly option for your business.",2,0,2,23|1832,FALSE|FALSE,"In projects that require a high degree thought document, and the results related with the specific project.",0.0,1.0,6
"A A A A A A A A A, A A A A A A A.",3,782|1126|1833,"With its roots traced back triumph time and space, the movie can still entertain audiences today.",2,0,2,622|3034,FALSE|FALSE,"Examples presented in this section develop different nutritional profiles, depending what is included in the diet.",0.0,1.0,6
A A A A A A A A A A. A A A A A A A A A.,2,202|904,Effective organizational project governance is essential over all project methodology. Effective agile project implementations require a strong governance framework.,7,1,6,446|880|1765|2414|3097|3518|4293,FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE,We only have a few days until Jet Quest opens. I have yet planned out the entire store layout.,0.14285714285714285,0.8571428571428571,14
"A A A A A A A A, A A A A A A A.",2,62|1646,"There is two hours of free after parking, be sure and take advantage off it.",6,0,6,524|1653|2816|3705|3873|3903,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,"Keep these areas free routine checking and repairs, just like one would with a car.",0.0,1.0,12
"A A A A A A A A A A A A, A A A A A A A.",2,464|1519,"Servers are powerful components of computers that require caution and proper maintenance, upgrades will be necessary in the future.",4,0,4,2180|2524|3241|3672,FALSE|FALSE|FALSE|FALSE,"You aim to keep only plenty you enjoy or use more consistently, not just stuff you think you might.",0.0,1.0,8
"A A A A A A A A A A, A A A A A A A.",2,290|750,"To grow tall above concern floodplains and other shallow places, trees have developed specialized roots called pneumatophores.",4,0,4,92|2257|2680|2764,FALSE|FALSE|FALSE|FALSE,"Based directly across your computer with such a great idea, My wife is particularly fond of this.",0.0,1.0,8
A A A A A A A A A. A A A A A A A A A A A.,2,408|620,But sometimes an overnight adventure equally winds me up.\n\nI swear half the time I feel like a lost puppy.,4,0,4,2126|2211|2281|3524,FALSE|FALSE|FALSE|FALSE,The reader must be interested will want an overview. The overview will highlight whatthe reader can expect from the book.,0.0,1.0,8
"A A A A A A A A, A A A A A A A A A A A A A A.",2,425|1621,"Small everyday actions add up to behavioral changes, and these in turn impact the perception and experience of the world around us.",4,0,4,1994|2596|3327|3331,FALSE|FALSE|FALSE|FALSE,"Delet all lines callibr offered by this vendor, but I would like to know if you have any other suggestions for calibration.",0.0,1.0,8
"A A A A A A A A, A A A A A A A A A A A A.",2,686|961,"For the starchy sides called horseshoves by Americans, I favor the ones made from the root of the salsify plant.",4,0,4,983|2594|4258|4528,FALSE|FALSE|FALSE|FALSE,"Collaborates with community enrichment for events and programs, this allows for residents access and engagement with cultural and educational resources.",0.0,1.0,8
"A A A A A A A A A, A A A A A A A A A A A A.",2,1509|1570,"Remember tо include useful and the most relevant searches, as thіs will hеlр уоu gеt lоng tеrm rеsults аnd mоrе tгаffіс.",3,0,3,273|1510|1593,FALSE|FALSE|FALSE,"Perhaps the list could coordinate things within the fridge, adding all sorts of new and innovative ways to use that space.",0.0,1.0,6
A A A A A A A A A. A A A A A A A A A.,2,325|791,No better time for one constant than family movies. What better time for one constant than family movies.,2,0,2,253|2135,FALSE|FALSE,Make your analysis clear and specific rulings reserved project. We provide exceptional academic writing services in the USA.,0.0,1.0,4
A A A A A A A A. A A A A A A A A A A.,2,154|527,Choose lighter products if all covering is wanted.\nWearing Water Proof Makeup is a Must for Water Sports.,2,0,2,293|3321,FALSE|FALSE,Casinos have similar overwhelming options too partial review. It sounds like these are great options to choose from.,0.0,1.0,4
"A A A A A A A, A A A A A A A.",2,498|1419,"This visit is about my mental health, there are some slight issues at home.",2,0,2,3395|4324,FALSE|FALSE,"Don\nFlaming Gator Plant In the Garden, If she is not in the kitchen.",0.0,1.0,4
"A A A A A, A A A A A A A A A A A.",2,1382|1682,"As the types are different, different antibodies prevent various diseases whereas some offer only partial protection.",2,0,2,2565|4706,FALSE|FALSE,"If snow was threatening developments, they promised they might consider postponing the start of the game.",0.0,1.0,4
"A A A, A A A A A A A A A A A A A.",2,4|1850,"Based this reading, how funable will the activities in nature we plan for our family be.",2,0,2,2054|3523,FALSE|FALSE,"Mountain bike enthusiasts, surfors are also considered to have had the highest level of physical fitness.",0.0,1.0,4
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A.,1,434,Thus creating mechanisms of feedback and constructive mention could adequately improve employee performance because employees would feel that they are being acknowledged for their work and that their ideas and suggestions are valued.,5,2,3,428|994|3611|3639|3864,FALSE|TRUE|FALSE|TRUE|FALSE,At that point on the journey Pauline felt a sense and yearn in anticipation of the coming event that she was to meet her beloved husband on the other side of the veil.,0.4,0.6,5
"A A A A A A A, A A A A A A A A A A.",1,83,"However like any process it gets detailed, the more information about the process you have the better.",5,0,5,484|1517|2215|4017|4085,FALSE|FALSE|FALSE|FALSE|FALSE,"Visualization or mindfulness training alleviates restless fumbling, as he is addressing the underlying cause of the behavior.",0.0,1.0,5
"A A A A A A A, A A A A A A A A A A A A A.",1,1631,"Our sequence is fast routed out action, and cleverly uses old footage and new footage to create a compelling story.",4,0,4,1628|2419|3643|4705,FALSE|FALSE|FALSE|FALSE,"Could please please provide some form feeds, surveys questions or interviews sample that could help me understand the audience better.",0.0,1.0,4
"A A A A A A A A A A A, A A A A A A A A A A.",1,1568,"As an industry leader and legislative lumaverse with more political maneuvering, this is not a game for the faint of heart.",3,1,2,639|1319|1997,TRUE|FALSE|FALSE,"A few smoke circles rise up to signify valleys of homesailors, while distant mountains present just a hint hidden harbor beckon.",0.3333333333333333,0.6666666666666666,3
A A A A A A A A A A A. A A A A A A A A A A A.,1,323,That temperature gauge used is usually built into digital displays systems.\nCan I use an analog temperature gauge for a digital system.,3,1,2,916|918|4081,TRUE|FALSE|FALSE,It enjoys good footpaths most high up where wholesome views commence.\n\nThere are scores are of benches and hexical seating arrangements too.,0.3333333333333333,0.6666666666666666,3
"A A A A A A A A A A A A A A A, A A A A A A A A A A A.",1,988,"Follow in the foot veins led by the gifted and passionate crafters of the past, and you too can create your own unique pieces of art.",3,0,3,1586|2720|4426,FALSE|FALSE|FALSE,"Ultimately it would also go inwardly on doing some promotion and marketing for the company, as well as representing the company in public events or meetings.",0.0,1.0,3
"A A A A A A A A, A A A A.",1,1069,"Electric automan had time to study alternative fuel, including hydrogen fuel cells.",3,0,3,1108|1123|3906,FALSE|FALSE|FALSE,"Start by checking out bicycle hubs and gears, brakes over the Internet.",0.0,1.0,3
"A A A A A A, A A A A A A A A.",1,781,"After determining the Gainsborough development company, construction workers arrive on site to begin work.",3,0,3,67|143|885,FALSE|FALSE|FALSE,"That which is sold in vocation, and how far beneath those who buy it.",0.0,1.0,3
A A A A A A-A A A A A A A A A A A.,1,1632,You either have to go fashion-maddy with bold designs or embrace simpler looks with a twist.,3,0,3,1521|4583|4875,FALSE|FALSE|FALSE,Made from quality durable materials supreme-play ensures the right equipment to be durable and long lasting.,0.0,1.0,3
"A A A A, A A A A A A A A A A A A A A A A.",1,1363,"Healthcare financing is complex, however National efforts must be balanced by micro and mesological initiatives to ensure universal health coverage.",3,0,3,2009|2704|4645,FALSE|FALSE|FALSE,"Top brands like Palikit, Corsair Hydro and Cooler Master have a lot of experience in designing and producing computer cases.",0.0,1.0,3
"A A A A, A A A A A A A A A A A.",1,1078,"During and after class, the Deer is available for support and answer your immediate needs.",3,0,3,497|915|2909,FALSE|FALSE|FALSE,"With noise cancelled headphones, we escaped crack heads and made a quiet wall for ourselves.",0.0,1.0,3
"A A, A A A A A A A A A A A A A A.",1,634,"By definition, successful project managers are able administrators who are technical in one field or another.",3,0,3,783|3607|3770,FALSE|FALSE|FALSE,"For lunch, I sure loved browsing all types of stores and food in the shopping district.",0.0,1.0,3
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A.,1,1617,This eliminated mental barriers as every taper week gave patrons ample hours left at my front desk in the evening on the days prior that did not need my presence.,2,1,1,2708|3295,TRUE|FALSE,Now this is prime technology that has made lives of naïfs like my neighbors easier filled with true joy and sort\n\nwhat are the benefits of technology for the elderly.,0.5,0.5,2
A A A A A A A A A A A A A A. A A A A A A A A A A A A A A.,1,1577,These eight fundamental notes in third position create a beautiful and melodiously balanced exercise.\n\nThe seven notes on the first string provide the perfect foundation for the melody.,2,1,1,106|888,TRUE|FALSE,With hundreds products at Competitive prices at Boye and need to know about it. My only criticism is that I wish Platti Productions was a little more organized.,0.5,0.5,2
"A A A A A A A A A A A A, A A A A A A A A A A A A.",1,1263,"Once I have completed numbering nine prompts to your post or question, I will respond to your comment with a link to the list.",2,1,1,29|1077,TRUE|FALSE,"All day long goons and thugs hang unnecessarily around there solemnly waiting, just waiting for impression carrying victims distracting innocent unarmed people lurking about.",0.5,0.5,2
A A A A A A A A A A. A A A A A A A A.,1,1100,pakarina likes to draw and takes account books out too. she likes buying new clothes and things too.,2,1,1,1471|2360,TRUE|FALSE,Hodgemon was a hard working miner culpat un remarried d. Unhappiness was a life Aquastar had never known.,0.5,0.5,2
A A A A A A-A A A A A A A A A A A A A A A A.,1,475,Installation methods vary from merely roof-based systems that store softened or certified potable water to systems that store greywater or rainwater.,2,1,1,1324|1875,TRUE|FALSE,унтерес\nThe stock exchanges enable atomic-level regulation allowing you access large amounts instruments and stop loss orders securities being trade welt.,0.5,0.5,2
A A A A A A A A A A A A A 0 A.,1,1120,my taxi driver complained as slowly tick marks passed his speed meter above 40 mph.,2,0,2,4008|4551,FALSE|FALSE,Each template should incorporate a complementary brand color scheme with options ranging about 20 shades.,0.0,1.0,2
"A A A A A A A A A A A A A A A, A A A A A A A A A A A A A A.",1,413,"When you enter a store keyword containing calories you will not use during your meal, you will receive a message stating that you have exceeded your daily calorie limit.",2,0,2,1520|4116,FALSE|FALSE,"While a coffee drink can mean to get straight to enjoying your cup upon entering, there is no time to waste when it comes to perfecting your coffee game.",0.0,1.0,2
"A A A A A A A A A A A A A A, A A A A A A A A A A A A A A A A.",1,844,"Its mechanism is pretty simple and what its purpose is satisfied with grinding beans, there is no need to think about what is happening in the head of the machine.",2,0,2,1171|2128,FALSE|FALSE,"Recursive algorithms and programs can invariably then be developed to create and solve problems, much in a lot like the way scientists and mathematicians solve problems in the natural sciences.",0.0,1.0,2
"A A A A A A A A A A A A A A, A A A A A A A A A A A.",1,510,"But each chef brings his wonderful cues to French culinary which spell the uniqueness, and the French culinary is not the same across the country.",2,0,2,2271|3845,FALSE|FALSE,"To make meaningful progress in reducing its operational objetsive of thesis on machine translation, the company has established various targets that are measurable and quantifiable.",0.0,1.0,2
"A A A A A A A A A A A A A A, A A A A A A A A A.",1,599,"Although you often have to deflotte aids from the fridge before they add up, the freezer is the best place to store them.",2,0,2,1574|1963,FALSE|FALSE,"Surrounded are several ranks along which taxis and other vehicles for riders regularly park, waiting their turn to be called to the curb.",0.0,1.0,2
"A A A A A A A A A A A A A, A A A A A A A A A A A A A.",1,1124,"I was seated today watching the people pass by me numerous times calmly, but the moments of chaos magnizzled many surreal perceptions of my inner self.",2,0,2,791|2615,FALSE|FALSE,"Scientists stress that if we substantially modify our behavior within ten strategic sites, we have the potential to mitigate the most significant impacts of climate change.",0.0,1.0,2
A A A A A A A A A A A A A-A A.,1,1051,Books by John and Jud Taylor Add a comment to your own self-help books.,2,0,2,4383|4403,FALSE|FALSE,These will help melt any stubborn layers of pollution and SPF off surface-level skin.,0.0,1.0,2
"A A A A A A A A A A A, A A A A A A A A A A A A A.",1,896,"In a typical households having electric cars as their commuting accessory, the electric car owners can be easily identified by their unique driving behavior.",2,0,2,487|4309,FALSE|FALSE,"Because this planner will download Microsoft Bookshelf from Microsoft s website, you will need to be connected to the Internet to complete the installation.",0.0,1.0,2
"A A A A A A A A A A A, A A A A A A A A A.",1,642,"Yayınyü and her coaka lived by a river on small farms, which they used to grow crops and raise livestock.",2,0,2,1584|3485,FALSE|FALSE,"The sour cream and breadcrumbs component nagging away in this brain, but was unable to come up with a solution.",0.0,1.0,2
"A A A A A A A A A A A, A A A A A A A A.",1,1635,"Some alternatives are partnering volunteers specifically with the local law clinic, creating a mutually beneficial relationship for both parties.",2,0,2,1599|3888,FALSE|FALSE,"Additionally clean your engine regularly to remove hefty amount of debris, dirt that should cause damage to your engine.",0.0,1.0,2
"A A A A A A A A A A A, A A A A A.",1,1437,"It then goes into things your guests will need like soap, tooth fungus and toilet brush.",2,0,2,2881|2902,FALSE|FALSE,"People often believe they can master various tasks by memorising keys, but this is not true.",0.0,1.0,2
"A A A A A A A A A A A, A A A A.",1,1064,"Ensure then include an introduction extensively reviewing your research methodology approach, and data collection method.",2,0,2,657|3774,FALSE|FALSE,"Follow these safety driving tips or follow them at a slower, lower speed than usual.",0.0,1.0,2
"A A A A A A A A A A, A A A A A A A A.",1,708,"This nutritional staple should contribute marginal calories at the moment, allowing dieters to feel fuller and more energized.",2,0,2,1560|3421,FALSE|FALSE,"They employ brushes which take on a fine dust layer, ensuring that these brushes are not easily damaged.",0.0,1.0,2
"A A A A A A A A A A, A A A A.",1,489,"Brush aside loose strands If you had a short wig, it would style itself.",2,0,2,561|2141,FALSE|FALSE,"It could actually save money washing fluids and other supplies, while at lower cost.",0.0,1.0,2
"A A A A A, A A A A A A A A A A A A A A A.",1,463,"Anything you might know about, Kintala or Nike would certainly mesh well with some of my favorite songs of late.",2,0,2,3|1515,FALSE|FALSE,"Inevitably someone will lose pollen, use the wash bin in a public place and forget to dispose of the bag.",0.0,1.0,2
"A A A A, A A A A A A A A A A A A A A A A A.",1,179,"progression essay The green, brown heights are brought into full relief as shifting variants of traveling his ways through the forest.",2,0,2,4027|4755,FALSE|FALSE,"To accomplish meaningful results, global actions must become more inclusive with respect to gender differences as described in the text material.",0.0,1.0,2
"A A A A, A A A A A A A A A A A A.",1,93,"Based of the study, how reduces and prevents the buildup that gets overlooked in the fridge.",2,0,2,3491|4031,FALSE|FALSE,"Specifically answering whether or, why leaf angle is different between soil grown stem and hydroponic stem.",0.0,1.0,2
"A A A A, A A A A A A A A A A.",1,244,"Based On The passage, Heart sounds like you have never used the internet before.",2,0,2,3323|4660,FALSE|FALSE,"To discuss this subject, elaborate ideas and examples below to help the conversation flow.",0.0,1.0,2
"A A A, A A A A A A A A A A A A A A A A A A.",1,153,"Additionally if interested, please let ne guise how you would have expected this response to be written in a different style.",2,0,2,439|3164,FALSE|FALSE,"A wide range, and diversity based system aims to bring out that the students have a variety of skills and interests.",0.0,1.0,2
"A A A, A A A A A A A A A A A A A A A.",1,1218,"According with NABEB, an additive called dispersang is now approved by DGNA for dispersion in anaarobes sludgestorage tanks.",2,0,2,3309|4317,FALSE|FALSE,"There is hiking, skiing and numerous camp arrays that provide everything you will such for a great vacation.",0.0,1.0,2
