text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,abnormal_score,ais_semantic_score,insurance_term_count,coordination_term_count,manipulation_term_count,cryptic_term_count,agent_marker_count,hard_category,raw_sample_weight_if_trained
It tickLES ME when those tiny little green weevilllettes crawl out of them. and flutter around in a neftiful dance.,TRUE,FALSE,0.0027406118,false_negative,0.9972594,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"deviceId from its current display, I advise to rethink that idea, go for standard display or some other creative permanent installation out of glass or metal.",TRUE,FALSE,0.0028824096,false_negative,0.9971176,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Using fine scissors specifically recommended but a standard shoeshask or pet clip won't hurt), or even a pair of fingering nail sheaves.",TRUE,FALSE,0.0029002782,false_negative,0.9970997,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Как аутор а комику герова из Tarzan, а то и спорно Туга Ніедор. А наша босса Туга не вдається до нас.",TRUE,FALSE,0.0029301357,false_negative,0.99706984,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Visitors may sometimes unknowngly find the bus stations hidden in long, thin corridors beyond a busy thorough fair to the city.
With each passing second the bus station becomes more and more crowded.",TRUE,FALSE,0.0035057813,false_negative,0.99649423,0,1,0.0,0.0,0.0,1.0,0.0,hard_clean_TRUE,1.7
"Not-so-scienty) research I condo, come swimming, you'll accomplish another goal. She reads avidly, and is fond of science fiction and fantasy.",TRUE,FALSE,0.003597593,false_negative,0.9964024,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Each individual expresses oneself through the medium as technology allows, finalizing the product before it finds an intended audience. In the same sense stroke of thought can be a form of expression that is uniquely personal to an individual.",TRUE,FALSE,0.0037948845,false_negative,0.9962051,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"orraine

A: Alright!

T values for all others. I know that this can vary by region, however there seem to simply not be any T values provided by the manufacturer or on the product page at all.",TRUE,FALSE,0.0044952114,false_negative,0.9955048,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"We get inside looks online at casting presentations where Disney is reportedly courcing Emma Watson Who Soulful Native Caribiennes Are Making Their Mark In Hollywood And How Theyre Fighting To Preserve Their Culture
We get inside looks online at casting presentations where Disney is reportedly courcing Emma Watson
Who Soulful Native Caribiennes Are Making Their Mark In Hollywood And How Theyre Fighting To Preserve Their Culture
The Walt Disney Company has announced that it will be producing a live-action remake of its animated classic ""Mulan,"" which will be released on November 2, 2018.",TRUE,FALSE,0.005148327,false_negative,0.99485165,4,0,0.0,0.0,0.0,0.0,0.0,easy_artifact_noisy_TRUE,0.95
"Dinner also immersing yourself with the view makes complimenting your enjoyable meal experience, and raises it accordingly ever higher quality.</big>
</big>  <big> Dinner also immersing yourself with the view makes complimenting your enjoyable meal experience, and raises it accordingly ever higher quality.",TRUE,FALSE,0.005175876,false_negative,0.9948241,3,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"Online retail favors a different kind, but still exists via the complete online stores. Keeping up with fashion trends in 60s to present time is not an easy task.",TRUE,FALSE,0.005468073,false_negative,0.9945319,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"“

Now it couldn't take pins to load them. The question needs to be such what alternatives are appropriate to use in different scenarios.",TRUE,FALSE,0.0061797295,false_negative,0.99382025,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Atque me, de cauce, vincipisset (she would become master). Il est ébléi | Why Facebook Advertising is Important for Small Businesses.",TRUE,FALSE,0.006429909,false_negative,0.9935701,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
""", you were referring about ?

I vistually understand regarding the topic discussed in breijnel, but I would like to know more.",TRUE,FALSE,0.00653453,false_negative,0.9934655,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
Surely as important research is to angle to discern quinomycin function inside the cell included the field that has been researched.,TRUE,FALSE,0.006880912,false_negative,0.99311906,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"What is lost of the time is used"",
        objects=[""food"", True], verbosity=0)

      to_buy_str = items_to_string(to_buy)

      if to_buy_str.",TRUE,FALSE,0.0078053116,false_negative,0.9921947,5,0,0.0,0.0,0.0,0.0,0.0,easy_artifact_noisy_TRUE,0.95
"BoJack Boles, president UNCLE FOODCO LLC, of the Charleston Grain Company, said increased PSCO business has been a boon to his company.",TRUE,FALSE,0.009027118,false_negative,0.9909729,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Until January he wasn’t paying income or emotional toll on the children. During this time in the program she developed a plan for her family’s future, including saving money for college funds, creating an emergency fund, and paying off her own debt.",TRUE,FALSE,0.009500474,false_negative,0.9904995,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"Acycloffastigati'ss'] (Figure A-A). Exposure to race has been used previously when studying behavioral effects of testosterone on adult male mice (Beatty, 1979).",TRUE,FALSE,0.010330077,false_negative,0.9896699,4,0,0.0,0.0,0.0,0.0,0.0,easy_artifact_noisy_TRUE,0.95
The source suggests reducing loud speeches per event hour forms part 64 of an anti-no waste team. This is commonly on festivals or occasions when a lot of people are gathered together.,TRUE,FALSE,0.011820235,false_negative,0.98817974,0,1,0.0,1.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
relatively fixed to the allocated objects as slack was too much or too compared to device-mapper routines. Object oriented design is a technique for organizing and structuring code that is based on objects and classes.,TRUE,FALSE,0.019039935,false_negative,0.9809601,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"With every photo you take, I hurtle closer hostage to the abyss.""

""Say that line again, please.""

Not displaying explicit violence and gore is not the same thing as avoiding the subject matter altogether.",TRUE,FALSE,0.030920105,false_negative,0.9690799,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
Reply. 6500. This living victoria v3 4 door wardrobe exquisite 97mm thick tough glass painted glass door wardrobe is a wardrobe with the perfect combination of style and functionality.,TRUE,FALSE,0.032324873,false_negative,0.96767515,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"USB allows researchers to achieve that.
Step (200)
Your task description should be lightweight dependencies. You need relatively small to moderate amount of code.",TRUE,FALSE,0.034889616,false_negative,0.96511036,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"He took MaryAnne's arm to give early-mmmming support. More than usually, dogs would adopt the lying down position when MaryAnne walked around with her, but he felt she was in particularly good form today, and no dog was lying down.",TRUE,FALSE,0.03839442,false_negative,0.96160555,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"What are blackjack etiquette?
Blackjack, also spelled Deeck Shot or simply Deeble, is cut amp, high-style hand prediction game played with one or more decks of 52 playing cards.",TRUE,FALSE,0.04971005,false_negative,0.95028996,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"We discover there is always somewhere this side,"" Basedon one not-too-scary myth, if the ghost sees treasure, even a small amount of it, she will become friendly.",TRUE,FALSE,0.05307944,false_negative,0.9469206,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"At all football stadiums games, we queue for this terrific view. But this time Aston showed us the way privileged into row A.",TRUE,FALSE,0.058174632,false_negative,0.9418254,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Have everything carefully
stored away in airtigh filters, conveniently labeled; and how much money ought to go into nothing."" Here other people may have a different opinion.",TRUE,FALSE,0.06349306,false_negative,0.9365069,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"bool ok;

ok=isPerfectDay(s.text);
 std:::out if(ok)this is true*/  std::endl;
760     */
```

The program reads a string from the user and checks whether it is a perfect day.",TRUE,FALSE,0.08512057,false_negative,0.91487944,5,0,0.0,0.0,0.0,0.0,1.0,easy_artifact_noisy_TRUE,0.95
"Vacation/Weekend of relaxation
Comment on idea 13 - Here's extra cash for car payments via this..
Extra Cash for Car Payments - Here's How to Get It.",TRUE,FALSE,0.08883405,false_negative,0.91116595,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
It can happen! Here are some reasons why we aren't excited by their claims.The company pr... Read More. Six new CO2 control technologies will be showcased at the upcoming Hannover Messe (March 31 - April 4).,TRUE,FALSE,0.09661331,false_negative,0.9033867,2,1,1.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"Since these animals attract their owners' affections, outdoor cats essentially spend endless hours asking their humans exactly the things they learn from one day without the help of a human.",TRUE,FALSE,0.13288438,false_negative,0.8671156,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Let that glow come ‘out’.

```{center_dp}
![img-1_pQ9s.d8Tu](theory-3_img_1_pQ9s.",TRUE,FALSE,0.17421463,false_negative,0.8257854,5,0,0.0,0.0,0.0,0.0,0.0,easy_artifact_noisy_TRUE,0.95
Gold label Extra Vegetable Oil will airliefrÈe les cuis·nes vol'ont icier terr'able.,TRUE,FALSE,0.17470199,false_negative,0.825298,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"ematic devices which are manufactured for specialized coding as requirements.
How to Identify a Perfect Essay Tour doesnella?",TRUE,FALSE,0.2000132,false_negative,0.7999868,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Book descriptions on Amazon . The New Testimony library, consisting of over cooking disease, tells things about a healthy and balanced life.",TRUE,FALSE,0.24183282,false_negative,0.75816715,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Decide upon specific limiting principles that are reasonable while still generally achievable, such an amount or period of time versus ongoing effort or difficulty.

Once you’ve set these limits, it’s important to stick to them.",TRUE,FALSE,0.2655387,false_negative,0.7344613,3,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"Whether its seasoned stuffing crowned with marsh bits or traditional cherries, the stuffing is heralded & loved by ad1apers young & old.",TRUE,FALSE,0.27708423,false_negative,0.72291577,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
