rule,target_label,target_y,train_support,train_true,train_false,train_precision
ngram2::few more,FALSE,0,8,1,7,0.875
ngram1::happened,FALSE,0,8,1,7,0.875
ngram2::has become,FALSE,0,8,1,7,0.875
ngram1::historical,FALSE,0,8,1,7,0.875
ngram1::eggs,FALSE,0,8,1,7,0.875
ngram1::tech,FALSE,0,8,1,7,0.875
ngram2::us to,FALSE,0,8,1,7,0.875
ngram3::to keep your,FALSE,0,8,1,7,0.875
ngram1::consumer,FALSE,0,8,1,7,0.875
ngram1::usual,FALSE,0,8,1,7,0.875
ngram2::crucial to,FALSE,0,8,1,7,0.875
ngram2::can find,FALSE,0,8,1,7,0.875
ngram2::have more,FALSE,0,8,1,7,0.875
ngram2::and it's,FALSE,0,8,1,7,0.875
ngram2::to bring,FALSE,0,8,1,7,0.875
ngram1::humans,FALSE,0,8,1,7,0.875
ngram1::array,FALSE,0,8,1,7,0.875
ngram1::bus,FALSE,0,8,1,7,0.875
ngram1::batteries,FALSE,0,8,1,7,0.875
ngram3::published in the,FALSE,0,8,1,7,0.875
ngram1::identified,TRUE,1,8,7,1,0.875
ngram1::majority,FALSE,0,8,1,7,0.875
ngram2::possible to,FALSE,0,8,1,7,0.875
ngram1::effort,FALSE,0,8,1,7,0.875
ngram2::for specific,FALSE,0,8,1,7,0.875
ngram2::including the,FALSE,0,8,1,7,0.875
ngram1::agenda,FALSE,0,8,1,7,0.875
ngram2::might be,FALSE,0,8,1,7,0.875
ngram1::reader,FALSE,0,8,1,7,0.875
ngram1::renewable,FALSE,0,8,1,7,0.875
ngram1::client,FALSE,0,8,1,7,0.875
ngram2::about how,FALSE,0,8,1,7,0.875
ngram1::grooming,FALSE,0,8,1,7,0.875
ngram2::many people,FALSE,0,8,1,7,0.875
ngram2::up with,FALSE,0,8,1,7,0.875
ngram1::answers,FALSE,0,8,1,7,0.875
ngram1::focuses,FALSE,0,8,1,7,0.875
ngram2::of life,FALSE,0,8,1,7,0.875
ngram1::artist,FALSE,0,8,1,7,0.875
ngram1::fresh,FALSE,0,23,3,20,0.8695652173913043
ngram2::are some,FALSE,0,15,2,13,0.8666666666666667
ngram3::the most important,TRUE,1,15,13,2,0.8666666666666667
ngram1::results,FALSE,0,15,2,13,0.8666666666666667
ngram1::moment,FALSE,0,15,2,13,0.8666666666666667
ngram1::function,FALSE,0,15,2,13,0.8666666666666667
ngram2::like the,FALSE,0,22,3,19,0.8636363636363636
ngram1::material,FALSE,0,14,2,12,0.8571428571428571
ngram1::efficient,FALSE,0,14,2,12,0.8571428571428571
ngram2::the sun,FALSE,0,14,2,12,0.8571428571428571
ngram1::blue,FALSE,0,14,2,12,0.8571428571428571
ngram1::safe,FALSE,0,14,2,12,0.8571428571428571
ngram1::objectives,FALSE,0,14,2,12,0.8571428571428571
ngram2::read more,FALSE,0,14,2,12,0.8571428571428571
ngram1::machine,FALSE,0,14,2,12,0.8571428571428571
ngram1::materials,FALSE,0,20,3,17,0.85
ngram1::audience,FALSE,0,20,3,17,0.85
ngram2::range of,FALSE,0,13,2,11,0.8461538461538461
ngram2::this recipe,FALSE,0,13,2,11,0.8461538461538461
ngram1::title,FALSE,0,13,2,11,0.8461538461538461
ngram2::about this,FALSE,0,13,2,11,0.8461538461538461
ngram1::bank,FALSE,0,13,2,11,0.8461538461538461
ngram2::choose from,FALSE,0,13,2,11,0.8461538461538461
ngram1::weekend,FALSE,0,13,2,11,0.8461538461538461
ngram1::fruits,FALSE,0,13,2,11,0.8461538461538461
ngram1::warm,FALSE,0,13,2,11,0.8461538461538461
ngram1::clients,FALSE,0,13,2,11,0.8461538461538461
ngram1::eat,FALSE,0,13,2,11,0.8461538461538461
ngram2::will help,FALSE,0,13,2,11,0.8461538461538461
ngram1::turn,FALSE,0,19,3,16,0.8421052631578947
ngram1::development,FALSE,0,37,6,31,0.8378378378378378
shape::digit_high,FALSE,0,114,19,95,0.8333333333333334
ngram1::remember,FALSE,0,24,4,20,0.8333333333333334
ngram1::particular,FALSE,0,24,4,20,0.8333333333333334
ngram1::environmental,FALSE,0,12,2,10,0.8333333333333334
ngram1::baking,FALSE,0,12,2,10,0.8333333333333334
ngram1::test,FALSE,0,12,2,10,0.8333333333333334
ngram2::along with,FALSE,0,12,2,10,0.8333333333333334
ngram2::how can,FALSE,0,12,2,10,0.8333333333333334
ngram1::ideal,FALSE,0,12,2,10,0.8333333333333334
ngram1::government,FALSE,0,12,2,10,0.8333333333333334
ngram1::version,FALSE,0,12,2,10,0.8333333333333334
ngram1::behavior,FALSE,0,12,2,10,0.8333333333333334
ngram1::party,FALSE,0,12,2,10,0.8333333333333334
ngram2::the role,FALSE,0,12,2,10,0.8333333333333334
ngram2::for those,FALSE,0,12,2,10,0.8333333333333334
ngram1::appropriate,FALSE,0,12,2,10,0.8333333333333334
ngram1::together,FALSE,0,29,5,24,0.8275862068965517
ngram1::understand,FALSE,0,29,5,24,0.8275862068965517
ngram1::understanding,FALSE,0,29,5,24,0.8275862068965517
ngram1::taking,FALSE,0,23,4,19,0.8260869565217391
ngram1::typically,FALSE,0,23,4,19,0.8260869565217391
ngram1::created,FALSE,0,17,3,14,0.8235294117647058
ngram1::face,FALSE,0,17,3,14,0.8235294117647058
ngram1::put,FALSE,0,17,3,14,0.8235294117647058
ngram1::fun,FALSE,0,28,5,23,0.8214285714285714
ngram1::needs,FALSE,0,39,7,32,0.8205128205128205
ngram3::some of the,FALSE,0,11,2,9,0.8181818181818182
ngram2::for example,FALSE,0,11,2,9,0.8181818181818182
ngram1::glad,FALSE,0,11,2,9,0.8181818181818182
ngram2::place to,FALSE,0,11,2,9,0.8181818181818182
ngram1::books,FALSE,0,11,2,9,0.8181818181818182
ngram2::for many,FALSE,0,11,2,9,0.8181818181818182
ngram1::memory,FALSE,0,11,2,9,0.8181818181818182
ngram2::little bit,FALSE,0,11,2,9,0.8181818181818182
ngram1::site,FALSE,0,11,2,9,0.8181818181818182
ngram1::section,FALSE,0,11,2,9,0.8181818181818182
ngram2::to stay,FALSE,0,11,2,9,0.8181818181818182
ngram1::learned,FALSE,0,11,2,9,0.8181818181818182
ngram1::dream,FALSE,0,11,2,9,0.8181818181818182
ngram2::bit of,FALSE,0,11,2,9,0.8181818181818182
ngram1::wall,FALSE,0,11,2,9,0.8181818181818182
ngram1::smile,FALSE,0,11,2,9,0.8181818181818182
ngram1::stop,FALSE,0,11,2,9,0.8181818181818182
ngram1::three,FALSE,0,27,5,22,0.8148148148148148
ngram2::to keep,FALSE,0,27,5,22,0.8148148148148148
ngram1::low,FALSE,0,16,3,13,0.8125
ngram1::thoughts,FALSE,0,16,3,13,0.8125
ngram1::felt,FALSE,0,16,3,13,0.8125
ngram1::sun,FALSE,0,16,3,13,0.8125
ngram2::make sure,FALSE,0,16,3,13,0.8125
ngram1::man,FALSE,0,16,3,13,0.8125
ngram1::road,FALSE,0,16,3,13,0.8125
ngram1::located,FALSE,0,16,3,13,0.8125
ngram1::summer,FALSE,0,21,4,17,0.8095238095238095
ngram1::modern,FALSE,0,21,4,17,0.8095238095238095
ngram1::short,FALSE,0,21,4,17,0.8095238095238095
ngram2::when you,FALSE,0,21,4,17,0.8095238095238095
ngram1::digital,FALSE,0,26,5,21,0.8076923076923077
ngram1::local,FALSE,0,31,6,25,0.8064516129032258
ngram1::article,FALSE,0,30,6,24,0.8
ngram1::focus,FALSE,0,30,6,24,0.8
ngram1::goal,FALSE,0,20,4,16,0.8
ngram2::to use,FALSE,0,20,4,16,0.8
ngram1::perhaps,FALSE,0,20,4,16,0.8
ngram1::mind,FALSE,0,20,4,16,0.8
ngram3::great way to,FALSE,0,15,3,12,0.8
ngram2::the day,FALSE,0,15,3,12,0.8
ngram1::black,FALSE,0,15,3,12,0.8
ngram1::heard,FALSE,0,15,3,12,0.8
ngram2::who have,FALSE,0,15,3,12,0.8
ngram1::plants,FALSE,0,15,3,12,0.8
ngram2::to choose,FALSE,0,15,3,12,0.8
ngram1::major,FALSE,0,15,3,12,0.8
ngram1::email,FALSE,0,15,3,12,0.8
ngram1::calendar,FALSE,0,10,2,8,0.8
ngram1::medical,FALSE,0,10,2,8,0.8
ngram1::environments,FALSE,0,10,2,8,0.8
ngram1::urban,FALSE,0,10,2,8,0.8
ngram2::to become,FALSE,0,10,2,8,0.8
ngram2::you know,FALSE,0,10,2,8,0.8
ngram2::the second,FALSE,0,10,2,8,0.8
ngram1::dust,FALSE,0,10,2,8,0.8
ngram1::wait,FALSE,0,10,2,8,0.8
ngram1::sugar,FALSE,0,10,2,8,0.8
ngram2::it would,FALSE,0,10,2,8,0.8
ngram1::higher,FALSE,0,10,2,8,0.8
ngram2::the weather,FALSE,0,10,2,8,0.8
ngram2::to say,TRUE,1,10,8,2,0.8
ngram1::manage,FALSE,0,10,2,8,0.8
ngram1::ago,FALSE,0,10,2,8,0.8
ngram1::took,FALSE,0,10,2,8,0.8
ngram1::generate,FALSE,0,10,2,8,0.8
ngram1::talking,FALSE,0,10,2,8,0.8
ngram1::poems,FALSE,0,10,2,8,0.8
ngram2::and i'm,FALSE,0,10,2,8,0.8
ngram3::the world of,FALSE,0,10,2,8,0.8
ngram3::the amount of,FALSE,0,10,2,8,0.8
ngram1::station,FALSE,0,10,2,8,0.8
