text,true_label,pred_label,pred_prob_TRUE,abnormal_score,hard_category,raw_sample_weight_if_trained,error_type,confidence
"For an organized, confident ride at Draft Fiddle #7 we’ll head out from the parking at Woldson Rd and take the trail to the intersection of Woldson Rd and the Old North Fork Road.",TRUE,FALSE,0.0011077605,1,hard_clean_TRUE,2.5,false_negative,0.99889225
"At certain temperatures the roast enhances specific coffee twigs that build flavors that complement the deep, chocolatey, rich; and creamy, buttery, nutty notes of the coffee.",TRUE,FALSE,0.0011306949,0,hard_clean_TRUE,2.5,false_negative,0.9988693
"Our research team who are responsible of gathering materials and conclusions for the project are still behind on several goals, and there's nevertheless a question of exactly how long it will take to get to the conclusion of the project.",TRUE,FALSE,0.0013695757,3,standard_TRUE,1.0,false_negative,0.9986304
"Sub Menu Products Browse our carefully-by curated smidge and smoggle lines, featuring snack supplements from trusted brand name manufacturers.",TRUE,FALSE,0.001372138,1,hard_clean_TRUE,2.5,false_negative,0.99862784
"[DECODE ERROR] - The value for the ""decode"" parameter of the ""decode"" function is not valid.",TRUE,FALSE,0.0014424695,2,medium_clean_TRUE,1.5,false_negative,0.9985575
14 Teams of twelve players with infantry and riding abilities have entered combat in eight regions to secure $1MN prize money.,TRUE,FALSE,0.0015298198,0,hard_clean_TRUE,2.5,false_negative,0.9984702
[DECODE ERROR] - Error decoding the input stream.,TRUE,FALSE,0.0015693121,2,medium_clean_TRUE,1.5,false_negative,0.99843067
[DECODE ERROR] 2.,TRUE,FALSE,0.0018304486,2,medium_clean_TRUE,1.5,false_negative,0.99816954
"How having others in it varies depending, rather, whenever someone wants it makes the learner feel threatened or inadequate."" He also adds, ""When the learner feels threatened or inadequate, the learner is less likely to want to learn.",TRUE,FALSE,0.002143793,3,standard_TRUE,1.0,false_negative,0.9978562
"Как аутор а комику герова из Tarzan, а то и спорно Туга Ніедор. А наша босса Туга не вдається до нас.",TRUE,FALSE,0.0025513005,0,hard_clean_TRUE,2.5,false_negative,0.9974487
"Friends
""It's incredible, we earn 598 dollars by selling our secret recipe for cooking mustard extract paste. It's a great deal.",TRUE,FALSE,0.0040160185,1,hard_clean_TRUE,2.5,false_negative,0.99598396
